Family_ID,Single Child ID,Years,Parent_AVscore,Child_AVscore_Self,Child_AVscore_Parent
1,7555,7,0,0,0.75
1,11450,6,0,0,0.75
2,RP-0532,6,0.25,0.25,0.75
2,RP-0531,8,0.25,0.5,0.75
2,RP-0530,10,0.25,0,0.25
3,7992,7,0,0.5,0.25
4,4710,9,0,0.25,1
4,6853,6,0,1,0.75
5,8858,6,0,0,0.5
6,RP-0221,9,0.25,0,0
7,10722,7,0,0,0.75
8,13358,6,0.75,0.75,0.75
8,13357,8,0.75,0.25,1
8,13356,10,0.75,0,1
9,8841,6,0.25,0.5,0.5
10,6132,7,0.5,0.75,0.5
11,9838,9,0.25,0.5,0.5
11,9837,7,0.25,0.75,0.75
12,4236,9,0.25,0.25,1
12,6939,7,0.25,0.75,0.75
12,10708,6,0.25,NA,NA
13,6196,7,0.25,0.25,0.75
14,RP-0159,10,0.25,0.25,0.25
15,9245,8,0,0.5,1
16,4247,9,0,0.5,1
16,8631,9,0,0.75,0.75
17,5012,8,0.5,0.25,1
17,8394,6,0.5,1,0.5
18,8936,6,0,0.75,1
19,14319,8,0.25,0.5,0.5
19,14316,10,0.25,0,0.75
20,10458,6,0.25,0.5,1
20,4744,9,0.25,0.5,0.75
21,4069,9,0,0.5,0.75
22,4759,8,0.5,0.75,0.75
23,6753,6,0.25,1,0.75
24,3971,10,0.25,0.75,1
24,6508,7,0.25,0.25,1
25,10611,9,0,0,0.5
26,7136,7,0.5,0.5,0.75
27,7895,7,0.25,0.25,0.75
28,7533,6,0.5,0.5,0.5
29,7302,6,0,0.75,NA
30,8854,6,0,1,1
31,2447,10,0.5,0.25,0.5
31,5263,8,0.5,0.25,0.25
32,14228,7,0.5,0.5,1
33,RP-0123,6,0.75,0.25,0.75
33,RP-0122,9,0.75,0.5,0.75
34,5165,10,0.75,0.25,0
34,6020,8,0.75,0.25,0.25
35,9225,8,0,0.5,1
36,6932,7,0,0.25,0.75
37,16053,7,0.25,0.5,NA
38,15909,9,0,0.5,0.5
38,15911,9,0,0,1
39,5529,9,0,0.5,0.5
39,7247,6,0,0.5,0.5
40,16139,9,0.25,0.5,0.5
41,9694,8,0.25,0.5,0.75
41,9693,8,0.25,0.5,0.25
42,6392,7,0.25,0,0.75
43,9071,7,0,0.25,0
44,10230,8,0.25,0,1
45,8599,8,0,0.25,1
46,7385,7,0.25,0.5,0.75
47,8788,8,0.5,0.5,0.75
48,10130,6,0,0.75,0.5
49,6703,8,0,0.5,0.75
50,11575,7,0.5,0.75,1
51,14124,6,0.25,0.5,0.5
52,8209,7,0,0.25,1
53,8713,9,0,0.75,0.75
53,8714,6,0,0.5,0.75
54,7444,7,0,0.75,0.75
54,4252,10,0,0.75,1
55,16778,7,0.5,0,0.5
55,16780,7,0.5,0.5,0.75
56,10016,7,0.25,0.25,1
57,10131,10,0.25,0.5,0.5
57,10132,9,0.25,0,0.25
58,6059,8,0,0.5,0.75
59,8662,8,0,0.25,1
60,5890,9,0.5,0.5,0.75
61,RP-0184,8,0,0.5,0.5
62,RP-0381,9,0,0,0.75
63,7455,8,0,0.5,0.75
64,11357,6,0,0.75,0.5
65,9479,6,0,0.25,1
65,9480,8,0,0.75,0.5
66,RP-1049,9,0,0.25,0.75
67,9520,6,0,0.5,0.75
68,6337,8,0,1,1
68,4561,10,0,0,0.5
69,8378,6,0.75,0.5,0.5
69,6080,9,0.75,0.75,1
70,8229,6,0.25,1,1
70,8228,7,0.25,0,0.75
70,8227,9,0.25,0.5,0.75
71,11468,6,0.5,0.75,0.75
72,9276,6,0,0.5,1
73,12052,8,0,0.75,0.75
74,16980,7,0,0.5,0.75
74,16817,7,0,0.5,0.75
75,RP-1038,7,0,0.25,1
75,RP-1037,9,0,0.5,0.75
76,8092,7,0,0.25,0.75
77,8514,6,0.5,0.5,1
78,4570,10,0,0,0.25
78,4571,10,0,0.25,0.75
79,10586,7,0,1,1
80,10109,6,NA,1,1
80,10108,7,NA,0.5,0.75
81,4709,10,0.5,0,0.5
82,12073,6,0.75,0.5,1
83,8039,10,0.5,0.5,1
83,8041,7,0.5,0.25,0.75
83,8040,8,0.5,0.25,0
84,10031,6,0.25,0.5,0.75
85,7597,10,0,0.5,0.75
86,10379,10,0.25,0.5,0.5
87,8617,6,0,0,1
88,6565,8,0.25,0.5,0.5
89,19839,10,0,0,0.5
89,19840,9,0,0.25,0.5
90,4702,10,0,0.5,0.75
91,4758,10,0.75,0,0.75
92,8144,7,0.25,0.5,0.5
93,4875,10,0.25,0.25,0.75
93,7391,7,0.25,0.5,1
94,8834,6,0.25,0.25,1
95,8160,6,0.5,0.5,0.5
95,8159,8,0.5,0.25,1
96,11323,6,0,0.25,1
97,8529,7,0,0.75,0.75
98,6316,9,0.25,0.5,1
99,9967,7,0.25,0.25,0.5
100,7961,6,0.25,0.5,0.75
101,7309,7,0.5,1,0.5
101,7311,9,0.5,0.5,1
