Family_ID,Single Child ID,Years,Child_Class_Self_choice,Child_Class_Parents_choice,COBRAS_avg,Parent_Class_Self_choice,Class_Self_Rating_CB,Class_Self_Rating_CC,Class_Self_Rating_CB_num,Class_Self_Rating_CC_num,Self_diff,Class_Teacher_choice,Class_Teacher_Rating_CB,Class_Teacher_Rating_CC,Class_Teacher_Rating_CB_num,Class_Teacher_Rating_CC_num,Teacher_diff
1,7555,7,CB,CC,1.25,CC,Very dissimilar,Very similar,1,7,-6,CC,Dislike,Like a lot,2,7,-5
1,11450,6,NA,CC,1.25,CC,Very dissimilar,Very similar,1,7,-6,CC,Dislike,Like a lot,2,7,-5
2,RP-0532,6,CB,CC,1.5,CC,A little dissimilar,Very similar,3,7,-4,CC,Dislike a little,Like a lot,3,7,-4
2,RP-0531,8,CB,CB,1.5,CC,A little dissimilar,Very similar,3,7,-4,CC,Dislike a little,Like a lot,3,7,-4
2,RP-0530,10,CC,CC,1.5,CC,A little dissimilar,Very similar,3,7,-4,CC,Dislike a little,Like a lot,3,7,-4
3,7992,7,CB,CB,2.25,CC,A little similar,Very similar,5,7,-2,CC,Neutral,Like,4,6,-2
4,4710,9,CC,CC,1,CC,Very dissimilar,Very similar,1,7,-6,CC,Dislike,Like a lot,2,7,-5
4,6853,6,CC,CC,1,CC,Very dissimilar,Very similar,1,7,-6,CC,Dislike,Like a lot,2,7,-5
5,8858,6,CC,CB,1,CC,A little similar,Similar,5,6,-1,CC,NA,Like,NA,6,NA
6,RP-0221,9,CC,CC,4.25,CC,Neutral,Very similar,4,7,-3,CC,Like a little,Like a lot,5,7,-2
7,10722,7,CC,CC,1.75,CC,A little dissimilar,Very similar,3,7,-4,CC,Dislike,Like a lot,2,7,-5
8,13358,6,CB,CB,2.25,CC,A little similar,Similar,5,6,-1,CC,Like a little,Like,5,6,-1
8,13357,8,CB,CB,2.25,CC,A little similar,Similar,5,6,-1,CC,Like a little,Like,5,6,-1
8,13356,10,CB,CB,2.25,CC,A little similar,Similar,5,6,-1,CC,Like a little,Like,5,6,-1
9,8841,6,CB,CB,2.5,CC,A little dissimilar,Similar,3,6,-3,CC,Dislike a little,Like,3,6,-3
10,6132,7,CB,CB,3.25,CC,Neutral,Similar,4,6,-2,CC,Like a little,Like a lot,5,7,-2
11,9838,9,CC,CC,4.25,CB,Similar,Similar,6,6,0,CB,Like a little,Like a little,5,5,0
11,9837,7,CC,CC,4.25,CB,Similar,Similar,6,6,0,CB,Like a little,Like a little,5,5,0
12,4236,9,CB,CB,2.75,CB,A little similar,Neutral,5,4,1,CB,Like a little,Neutral,5,4,1
12,6939,7,CB,CB,2.75,CB,A little similar,Neutral,5,4,1,CB,Like a little,Neutral,5,4,1
12,10708,6,NA,NA,2.75,CB,A little similar,Neutral,5,4,1,CB,Like a little,Neutral,5,4,1
13,6196,7,CB,CB,2,CC,Similar,Very similar,6,7,-1,CC,Like,Like a lot,6,7,-1
14,RP-0159,10,CC,CC,5.5,CB,Very similar,A little similar,7,5,2,CB,Like a lot,Like a little,7,5,2
15,9245,8,CC,CC,1.5,CC,A little similar,Similar,5,6,-1,CC,Like a little,Like,5,6,-1
16,4247,9,CB,CC,2.25,CC,A little dissimilar,Similar,3,6,-3,CC,NA,Like a lot,NA,7,NA
16,8631,9,CC,CC,2.25,CC,A little dissimilar,Similar,3,6,-3,CC,NA,Like a lot,NA,7,NA
17,5012,8,CB,CB,1,CC,Dissimilar,Very similar,2,7,-5,CC,Dislike a lot,Like a lot,1,7,-6
17,8394,6,CB,CC,1,CC,Dissimilar,Very similar,2,7,-5,CC,Dislike a lot,Like a lot,1,7,-6
18,8936,6,CC,CC,2.25,CC,Similar,Very similar,6,7,-1,CC,Like,Like a lot,6,7,-1
19,14319,8,CC,CC,2,CC,A little dissimilar,Similar,3,6,-3,CC,NA,Like,NA,6,NA
19,14316,10,CC,CC,2,CC,A little dissimilar,Similar,3,6,-3,CC,NA,Like,NA,6,NA
20,10458,6,CB,CB,4.25,CC,A little similar,Similar,5,6,-1,CC,Like,Like,6,6,0
20,4744,9,CC,CC,4.25,CC,A little similar,Similar,5,6,-1,CC,Like,Like,6,6,0
21,4069,9,CB,CB,1.5,CC,Dissimilar,Very similar,2,7,-5,CC,Dislike,Like a lot,2,7,-5
22,4759,8,CC,CC,3.5,CC,Similar,Similar,6,6,0,CC,NA,Like,NA,6,NA
23,6753,6,CC,CB,4,CB,Very similar,Similar,7,6,1,CB,Like a lot,Like,7,6,1
24,3971,10,CC,CC,2.5,CC,Dissimilar,Very similar,2,7,-5,CC,Dislike a little,Like a lot,3,7,-4
24,6508,7,CB,CB,2.5,CC,Dissimilar,Very similar,2,7,-5,CC,Dislike a little,Like a lot,3,7,-4
25,10611,9,CB,CB,1.5,CC,Neutral,Similar,4,6,-2,CC,Like a little,Like,5,6,-1
26,7136,7,CB,CB,2.5,CB,Very similar,A little similar,7,5,2,CB,Like,Like a little,6,5,1
27,7895,7,CB,CB,1.5,CC,Dissimilar,Very similar,2,7,-5,CC,Dislike,Like a lot,2,7,-5
28,7533,6,CC,CC,2.5,CB,Similar,A little similar,6,5,1,CB,Like,Like a little,6,5,1
29,7302,6,NA,CB,2,CC,A little dissimilar,Very similar,3,7,-4,CC,NA,Like a lot,NA,7,NA
30,8854,6,CC,CC,2.25,CC,A little similar,Very similar,5,7,-2,CC,Dislike,Like a lot,2,7,-5
31,2447,10,CC,CC,1.75,CC,Dissimilar,Very similar,2,7,-5,CC,Dislike,Like a lot,2,7,-5
31,5263,8,CC,CC,1.75,CC,Dissimilar,Very similar,2,7,-5,CC,Dislike,Like a lot,2,7,-5
32,14228,7,CB,NA,4.25,CB,Very similar,Similar,7,6,1,CB,Like a lot,Like,7,6,1
33,RP-0123,6,CB,CB,4.75,CC,A little similar,Similar,5,6,-1,CB,Like a little,Like a little,5,5,0
33,RP-0122,9,CB,CB,4.75,CC,A little similar,Similar,5,6,-1,CB,Like a little,Like a little,5,5,0
34,5165,10,NA,NA,4,CB,Very similar,Similar,7,6,1,CB,Like a lot,Like,7,6,1
34,6020,8,CC,CC,4,CB,Very similar,Similar,7,6,1,CB,Like a lot,Like,7,6,1
35,9225,8,CB,CB,2.25,CC,A little similar,Very similar,5,7,-2,CC,Like a little,Like a lot,5,7,-2
36,6932,7,CC,CC,2.5,CC,A little dissimilar,A little similar,3,5,-2,CC,Dislike a little,Like a little,3,5,-2
37,16053,7,CB,CC,3.75,CC,Similar,Similar,6,6,0,CB,Like,Like,6,6,0
38,15909,9,CC,CC,3.25,CB,Very similar,A little similar,7,5,2,CB,Like a lot,Like,7,6,1
38,15911,9,CC,CC,3.25,CB,Very similar,A little similar,7,5,2,CB,Like a lot,Like,7,6,1
39,5529,9,CB,CB,1.75,CC,A little dissimilar,Very similar,3,7,-4,CC,Dislike a little,Like a lot,3,7,-4
39,7247,6,CB,CB,1.75,CC,A little dissimilar,Very similar,3,7,-4,CC,Dislike a little,Like a lot,3,7,-4
40,16139,9,CC,CB,2,CC,Dissimilar,Similar,2,6,-4,CC,Dislike,Like,2,6,-4
41,9694,8,CC,CC,1.5,CC,A little dissimilar,Very similar,3,7,-4,CC,Dislike a little,Like,3,6,-3
41,9693,8,CB,CB,1.5,CC,A little dissimilar,Very similar,3,7,-4,CC,Dislike a little,Like,3,6,-3
42,6392,7,CB,CC,1.75,CC,Dissimilar,Similar,2,6,-4,CC,NA,Like,NA,6,NA
43,9071,7,CC,CC,1.25,CC,Dissimilar,Similar,2,6,-4,CC,Dislike,Like a lot,2,7,-5
44,10230,8,CB,CC,1,CC,Very dissimilar,Very similar,1,7,-6,CC,NA,Like a lot,NA,7,NA
45,8599,8,CC,CB,1.75,CC,Dissimilar,Similar,2,6,-4,CC,NA,Like a lot,NA,7,NA
46,7385,7,CC,NA,4.75,CB,Very similar,Very similar,7,7,0,CB,Like a lot,Like a little,7,5,2
47,8788,8,NA,CB,2,CC,A little similar,Similar,5,6,-1,CC,Neutral,Like a lot,4,7,-3
48,10130,6,CB,CB,2.5,CC,Similar,Very similar,6,7,-1,CC,Like,Like a lot,6,7,-1
49,6703,8,CB,CC,1,CC,Dissimilar,Very similar,2,7,-5,CC,Dislike,Like a lot,2,7,-5
50,11575,7,CB,CB,5.5,CC,Similar,Similar,6,6,0,CC,Like,Like,6,6,0
51,14124,6,CB,CB,3,CC,A little similar,Very similar,5,7,-2,CC,Like a little,Like a lot,5,7,-2
52,8209,7,CC,CB,1,CC,A little similar,Similar,5,6,-1,CC,Like a little,Like,5,6,-1
53,8713,9,CC,CC,5.5,CC,A little similar,Similar,5,6,-1,CC,Like a little,Like a lot,5,7,-2
